0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:13:35 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:13:35 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:13:54 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:13:55 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:15:07 +0900] "GET /ex0414/ex02.html HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:15:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:15:30 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:15:30 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:17:50 +0900] "GET /ex0414/ex02.html HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:17:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:17:54 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:17:54 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:18:34 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:19:27 +0900] "GET /ex0414/ex02.html HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:19:27 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:19:27 +0900] "GET /ex0414/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:40:28 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:40:29 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:46:29 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:47:14 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:47:15 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:47:15 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:47:17 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:47:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:47:32 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:47:32 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:47:33 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:47:33 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:48:31 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:54:39 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:54:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:55:20 +0900] "GET /ex0414/ex03.html HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [14/Apr/2020:10:55:20 +0900] "GET /ex0414/ex03.html HTTP/1.1" 304 -
